Feeding Schedules,http://generalhydroponics.com/site/index.php/resources/feeding_schedule/,,,,,,,,,,,,,,,,,,,,
Nutrients,"http://generalhydroponics.com/site/index.php/products/nutrients/flora_series/
http://generalhydroponics.com/site/gh/docs/prod_lit/GH_CALiMAGic-pcard.pdf
http://foxfarmfertilizer.com/index.php/item/open-sesame-soluble-fertilizer.html
http://foxfarmfertilizer.com/index.php/item/beastie-bloomz-soluble-fertilizer.html
http://foxfarmfertilizer.com/index.php/item/cha-ching-soluble-fertilizer.html",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Lights,Vegetative height (in),,Flowering height (in),,,,,,,,,,,,,,,,,,
PLATINUM XL-U,36,,24,https://www.blackdogled.com/products/universal-series/platinum-xl-u-11.html,,,,,,,,,,,,,,,,,
BDMICRO-U,16,,11,https://www.blackdogled.com/products/universal-series/bdmicro-u.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Strain,Unknown hybrid seeds. Strong indica traits (45 - 60 days of flowering time),,,,,,,,,,,,,,,,,,,,
Soil,Fox Farm Ocean Forest,,,,,,,,,,,,,,,,,,,,
1 Teaspoon to ml,4.93,,,,,,,,,,,,,,,,,,,,
1/2 Teaspoon to ml,2.46,,,,,,,,,,,,,,,,,,,,
1/4 Teaspoon to ml,1.23,,,,,,,,,,,,,,,,,,,,
1 Tablespoon to ml,14.78,,,,,,,,,,,,,,,,,,,,
1 Cup to ml,236.59,,,,,,,,,,,,,,,,,,,,
Liters to US Gal.,3.79,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Pot Size (Litres),11.36,,,,,,,,,,,,,,,,,,,,
Plant Count,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Watering volume (small),3.79,Litres,1,US Gallons,,,,,,,,,,,,,,,,,
Watering volume (normal),7.57,Litres,2,US Gallons,,,,,,,,,,,,,,,,,
<recipe>,,,,,,,,,,,,,,,,,,,,,
Week,Date,"Lights On
Time","Light On
Duration
(hours)","Air
RH%",Temp(C),"Water On
Time","Water On
Duration
(mins)","Soil
RH%
Target",Soil pH,"Light
Height
(Inch)",Phase,CALiMagic (ml),Flora Grow (ml),Flora Micro (ml),Flora Bloom (ml),Open Sesame (g),Beastie Bloomz (g),Cha Ching (g),pH Up (ml),Flush,Milestone
0,10/4/2015,18:00,18,60,25.5,19:00,10,90,6.8,32,Seedling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
2,10/18/2015,18:00,18,60,25.5,19:00,10,90,6.8,32,Vegetative,0.00,2.50,2.00,0.50,0.00,0.00,0.00,1,0,
2,10/19/2015,18:00,18,60,25.5,19:00,10,90,6.8,32,Vegetative,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
2,10/20/2015,18:00,18,60,25.5,19:00,10,90,6.8,32,Vegetative,0.00,3.33,2.67,0.67,0.00,0.00,0.00,1,0,
2,10/21/2015,18:00,18,60,25.5,19:00,10,90,6.8,32,Vegetative,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
3,10/22/2015,18:00,18,60,25.5,19:00,10,95,6.8,32,Vegetative,0.00,5.00,5.00,2.50,0.00,0.00,0.00,2,0,
3,10/23/2015,18:00,18,60,25.5,19:00,10,95,6.8,32,Vegetative,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
3,10/24/2015,18:00,18,60,25.5,19:00,10,95,6.8,32,Vegetative,0.00,10.00,10.00,5.00,0.00,0.00,0.00,5,0,
3,10/25/2015,18:00,18,60,25.5,19:00,10,95,6.8,32,Vegetative,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
3,10/26/2015,18:00,18,60,25.5,19:00,10,95,6.8,32,Vegetative,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,
3,10/27/2015,18:00,18,60,25.5,19:00,10,95,6.8,32,Vegetative,0.00,15.00,15.00,5.00,0.00,0.00,0.00,5,0,
3,10/28/2015,18:00,18,60,25.5,19:00,10,95,6.8,32,Vegetative,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
4,10/29/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,13.00,13.00,0.00,0.50,0.00,0.00,5,0,
4,10/30/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
4,10/31/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,13.00,13.00,0.00,0.50,0.00,0.00,4,0,
4,11/1/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
4,11/2/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,13.00,13.00,0.00,0.50,0.00,0.00,4,1,
4,11/3/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
4,11/4/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,13.00,13.00,0.00,0.50,0.00,0.00,4,0,
5,11/5/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
5,11/6/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,7.00,13.00,0.00,0.50,0.00,0.00,3,0,
5,11/7/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
5,11/8/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,2.00,13.00,0.00,0.50,0.00,0.00,3,0,Buds
5,11/9/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,
5,11/10/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,2.00,13.00,0.00,0.50,0.00,0.00,3,0,
5,11/11/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
6,11/12/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,2.00,13.00,0.00,0.50,0.00,0.00,3,0,
6,11/13/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
6,11/14/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,2.00,10.00,0.00,0.50,0.00,0.00,3,0,
6,11/15/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
6,11/16/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,2.00,10.00,0.00,0.50,0.00,0.00,3,1,
6,11/17/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
6,11/18/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,0.00,2.00,10.00,0.00,0.50,0.00,0.00,3,0,
7,11/19/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Transition,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
7,11/20/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,8.00,0.00,0.00,2.46,0.00,8,0,
7,11/21/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
7,11/22/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,8.00,0.00,0.00,4.93,0.00,14,0,
7,11/23/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,1,
7,11/24/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,8.00,0.00,0.00,4.93,0.00,14,0,
7,11/25/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
8,11/26/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,8.00,0.00,0.00,4.93,0.00,14,0,
8,11/27/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
8,11/28/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,8.00,0.00,0.00,4.93,0.00,14,0,
8,11/29/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
8,11/30/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,8.00,0.00,0.00,4.93,0.00,14,1,
8,12/1/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
8,12/2/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,8.00,0.00,0.00,4.93,0.00,14,0,
9,12/3/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,
9,12/4/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,
9,12/5/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,4.93,0.00,0.00,0.00,4.93,14,0,
9,12/6/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
9,12/7/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,4.93,0.00,0.00,0.00,4.93,14,0,
9,12/8/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
9,12/9/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,4.93,0.00,0.00,0.00,4.93,14,0,
10,12/10/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
10,12/11/2015,18:00,12,55,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,0.00,0.00,0.00,0.00,4.93,12,0,
10,12/12/2015,18:00,12,50,25.5,19:00,10,95,6.8,24,Flowering,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
10,12/13/2015,18:00,12,50,25.5,19:00,10,95,6.8,24,Flowering,0.00,0.00,0.00,0.00,0.00,0.00,4.93,12,0,
